GENE	COUNT
lppB	7
PPE9	6
PPE55	6
rpoB	3
pks6	3
pks12	3
gyrA	3
espK	3
eccC2	3
Rv2082	3
Rv0194	3
Rv0064	3
PPE60	3
PPE54	3
uvrC	2
uspA	2
sigG	2
sdhD	2
pstA1	2
proX	2
prcA	2
ppsA	2
pks8	2
pks13	2
nuoG	2
mtrB	2
mmpL5	2
mmpL13a	2
lppA	2
lpdA	2
lldD2	2
lipI	2
katG	2
fusA2	2
ethA	2
eno	2
eccD3	2
eccC4	2
dnaQ	2
cycA	2
ctpV	2
ceoB	2
bkdC	2
atsD	2
aceAa	2
Rv3829c	2
Rv3729	2
Rv3725	2
Rv3586	2
Rv3428c	2
Rv2825c	2
Rv2611c	2
Rv2561	2
Rv2542	2
Rv2079	2
Rv2037c	2
Rv2024c	2
Rv2017	2
Rv1944c	2
Rv1739c	2
Rv1730c	2
Rv1716	2
Rv1588c	2
Rv1378c	2
Rv1128c	2
Rv1046c	2
Rv0907	2
Rv0457c	2
Rv0338c	2
Rv0209	2
Rv0197	2
Rv0104	2
Rv0095c	2
Rv0045c	2
Rv0012	2
PPE32	2
PPE31	2
PE23	2
yrbE1B	1
vapC47	1
vapC40	1
vapB22	1
vapB18	1
trpG	1
treX	1
tkt	1
thiG	1
tgs3	1
tesB1	1
tatD	1
tatB	1
tal	1
sugI	1
subI	1
stp	1
sseC2	1
spoU	1
sigM	1
sigJ	1
serB2	1
serA2	1
rskA	1
rpsL	1
rpmG1	1
rpfE	1
rmlC	1
rip	1
recR	1
recF	1
rbsK	1
pyrD	1
purU	1
purF	1
ptrBa	1
pta	1
pssA	1
prpD	1
pptT	1
ppgK	1
ppdK	1
polA	1
pmmA	1
plsB2	1
plsB1	1
plcC	1
plcA	1
pks7	1
pks5	1
pks3	1
pks2	1
pknJ	1
pknH	1
pknG	1
pknB	1
pitA	1
pimE	1
phoR	1
pheS	1
pepE	1
pepC	1
papA2	1
pafB	1
oxyS	1
oxcA	1
otsA	1
oplA	1
opcA	1
ogt	1
nudC	1
nth	1
nrdZ	1
nrdE	1
nirB	1
ndh	1
narL	1
mycP4	1
mutT4	1
murD	1
mprB	1
moeX	1
moaE1	1
mmuM	1
mmpL9	1
mmpL2	1
mmpL12	1
mmpL10	1
mmaA2	1
metS	1
mce3F	1
mce3A	1
mce2F	1
mce2B	1
mce2A	1
mce1R	1
mce1F	1
mce1D	1
mce1A	1
mbtH	1
mbtF	1
mbtB	1
mazF8	1
mazF3	1
mas	1
mapB	1
mak	1
lysS	1
ltp4	1
ltp2	1
lprP	1
lprF	1
lpqM	1
lpqF	1
lppY	1
lipY	1
lipU	1
lipQ	1
lipJ	1
lipF	1
ligC	1
ligB	1
leuS	1
kstD	1
kgtP	1
kdpD	1
ino1	1
iniA	1
impA	1
ilvB2	1
idsB	1
hycD	1
hsdM	1
hsaB	1
hisH	1
hisC2	1
higB	1
hemK	1
helZ	1
hddA	1
guaB2	1
grcC2	1
grcC1	1
gpdA2	1
glyA1	1
glpQ1	1
glnQ	1
glfT1	1
gid	1
ggtA	1
gdh	1
gcvH	1
galU	1
galTb	1
galK	1
furA	1
fucA	1
frdC	1
fdxB	1
fdhD	1
fadH	1
fadE35	1
fadE34	1
fadE32	1
fadE20	1
fadE17	1
fadD6	1
fadD34	1
fadD32	1
fadD31	1
fadD30	1
fadD29	1
fadD25	1
fadD23	1
fadD19	1
fadD11.1	1
fadB5	1
fadA	1
esxW	1
esxP	1
espA	1
ephF	1
ephB	1
embB	1
echA4	1
echA19	1
echA16	1
eccE3	1
eccC3	1
eccB3	1
eccA3	1
eccA2	1
dppA	1
dnaZX	1
dnaB	1
dipZ	1
dinG	1
dacB1	1
cysW	1
cysK2	1
cyp143	1
cyp141	1
cyp138	1
cyp136	1
cyp132	1
cyp121	1
cut5b	1
ctpI	1
ctpH	1
ctpF	1
ctpB	1
cstA	1
crp	1
corA	1
cobM	1
cobL	1
cobD	1
cobB	1
ceoC	1
celA2b	1
ccsA	1
carA	1
blaC	1
bisC	1
bioD	1
betP	1
atsB	1
atpC	1
arsB1	1
aroG	1
aroE	1
apt	1
ansP1	1
alkA	1
aldA	1
aftB	1
accD6	1
accD5	1
accD2	1
accD1	1
accA1	1
TB8.4	1
Rv3909	1
Rv3898c	1
Rv3896c	1
Rv3847	1
Rv3839	1
Rv3837c	1
Rv3833	1
Rv3830c	1
Rv3827c	1
Rv3788	1
Rv3777	1
Rv3776	1
Rv3773c	1
Rv3770c	1
Rv3766	1
Rv3737	1
Rv3727	1
Rv3722c	1
Rv3719	1
Rv3691	1
Rv3680	1
Rv3655c	1
Rv3649	1
Rv3618	1
Rv3611	1
Rv3521	1
Rv3483c	1
Rv3479	1
Rv3468c	1
Rv3467	1
Rv3453	1
Rv3439c	1
Rv3402c	1
Rv3399	1
Rv3371	1
Rv3349c	1
Rv3329	1
Rv3282	1
Rv3271c	1
Rv3263	1
Rv3236c	1
Rv3220c	1
Rv3213c	1
Rv3204	1
Rv3202c	1
Rv3201c	1
Rv3190c	1
Rv3161c	1
Rv3137	1
Rv3114	1
Rv3113	1
